"week","site","neon","NEE_VUT_REF.avg","NEE_VUT_REF.upper","NEE_VUT_REF.lower"
12,"SRC","SRER",-0.485956686,-0.353973777,-0.617939595
13,"SRC","SRER",-0.474180000,-0.297370660,-0.650989340
14,"SRC","SRER",-0.424906733,-0.218096839,-0.631716628
15,"SRC","SRER",-0.336493900,-0.168407944,-0.504579856
16,"SRC","SRER",-0.218197943,-0.095602379,-0.340793507
17,"SRC","SRER",-0.218554250,-0.041187631,-0.395920869
18,"SRC","SRER",-0.147315133, 0.003220708,-0.297850975
19,"SRC","SRER",-0.083600983, 0.038224887,-0.205426853
20,"SRC","SRER", 0.038653700, 0.188180798,-0.110873398
21,"SRC","SRER", 0.070931117, 0.231582821,-0.089720588
22,"SRC","SRER", 0.098431520, 0.178941587, 0.017921453
23,"SRC","SRER", 0.115528600, 0.252563772,-0.021506572
24,"SRC","SRER", 0.202498500, 0.286362408, 0.118634592
25,"SRC","SRER", 0.187718333, 0.262646377, 0.112790289
26,"SRC","SRER", 0.289991600, 0.469691493, 0.110291707
27,"SRC","SRER", 0.547268800, 0.656782860, 0.437754740
28,"SRC","SRER", 0.579000600, 0.696932942, 0.461068258
29,"SRC","SRER", 0.230965960, 0.394641926, 0.067289994
30,"SRC","SRER",-0.079896500, 0.117936287,-0.277729287
31,"SRC","SRER",-0.084429760, 0.137150038,-0.306009558
32,"SRC","SRER", 0.061556600, 0.191512326,-0.068399126
33,"SRC","SRER",-0.023869260, 0.084732222,-0.132470742
34,"SRC","SRER", 0.053905400, 0.215853438,-0.108042638
35,"SRC","SRER", 0.140332700, 0.230788342, 0.049877058
36,"SRC","SRER", 0.151103280, 0.287761666, 0.014444894
37,"SRC","SRER",-0.101467400, 0.048071594,-0.251006394
38,"SRC","SRER",-0.225403250,-0.183246923,-0.267559577
39,"SRC","SRER",-0.206426040,-0.095158997,-0.317693083
40,"SRC","SRER",-0.237908917,-0.183229509,-0.292588325
41,"SRC","SRER",-0.231456583,-0.164220468,-0.298692699
42,"SRC","SRER",-0.235185350,-0.177348840,-0.293021860
43,"SRC","SRER",-0.202879167,-0.169698667,-0.236059667
44,"SRC","SRER",-0.110146038,-0.042363588,-0.177928488
45,"SRC","SRER",-0.142876133,-0.100175861,-0.185576405
46,"SRC","SRER",-0.171418450,-0.117246247,-0.225590653
47,"SRC","SRER",-0.177495800,-0.127924795,-0.227066805
48,"SRC","SRER",-0.107999933,-0.030021493,-0.185978374
49,"SRC","SRER",-0.104637700,-0.060740486,-0.148534914
50,"SRC","SRER",-0.106175898,-0.029674665,-0.182677131
51,"SRC","SRER",-0.120318140,-0.050454368,-0.190181912
52,"SRC","SRER",-0.147730675,-0.066976577,-0.228484773
53,"SRC","SRER",-0.225012000,NA,NA
 1,"SRG","SRER", 0.148635033, 0.210013902, 0.087256164
 2,"SRG","SRER", 0.212223252, 0.303720573, 0.120725930
 3,"SRG","SRER", 0.211981115, 0.315091705, 0.108870525
 4,"SRG","SRER", 0.206131133, 0.358235444, 0.054026823
 5,"SRG","SRER", 0.113622253, 0.216553016, 0.010691491
 6,"SRG","SRER", 0.127350610, 0.220431791, 0.034269429
 7,"SRG","SRER", 0.016274173, 0.166164170,-0.133615823
 8,"SRG","SRER",-0.048403900, 0.125967155,-0.222774955
 9,"SRG","SRER",-0.047363429, 0.063263096,-0.157989953
10,"SRG","SRER",-0.113764986,-0.016291407,-0.211238564
11,"SRG","SRER",-0.238494257,-0.106435685,-0.370552829
12,"SRG","SRER",-0.451589329,-0.300493352,-0.602685305
13,"SRG","SRER",-0.485469200,-0.321705482,-0.649232918
14,"SRG","SRER",-0.235092071,-0.044863323,-0.425320820
15,"SRG","SRER",-0.101737686, 0.032614806,-0.236090177
16,"SRG","SRER",-0.052104137, 0.045129206,-0.149337480
17,"SRG","SRER",-0.048870700, 0.017913758,-0.115655158
18,"SRG","SRER", 0.008544401, 0.076025694,-0.058936891
19,"SRG","SRER",-0.012118657, 0.053206137,-0.077443452
20,"SRG","SRER", 0.100997286, 0.176335661, 0.025658910
21,"SRG","SRER", 0.210702409, 0.323702489, 0.097702328
22,"SRG","SRER", 0.157962043, 0.208612157, 0.107311929
23,"SRG","SRER", 0.310905886, 0.395907110, 0.225904662
24,"SRG","SRER", 0.466416843, 0.636848729, 0.295984957
25,"SRG","SRER", 0.405741286, 0.582133659, 0.229348912
26,"SRG","SRER", 1.315896000, 1.718120044, 0.913671956
27,"SRG","SRER", 1.431890714, 1.707157182, 1.156624246
28,"SRG","SRER", 1.115742857, 1.577026518, 0.654459196
29,"SRG","SRER",-0.586372286,-0.011694502,-1.161050069
30,"SRG","SRER",-0.881011800,-0.491402182,-1.270621418
31,"SRG","SRER",-0.975686586,-0.323620902,-1.627752269
32,"SRG","SRER",-1.016954857,-0.434739418,-1.599170297
33,"SRG","SRER",-1.251038286,-0.740256705,-1.761819866
34,"SRG","SRER",-0.794938829,-0.249407422,-1.340470235
35,"SRG","SRER",-0.459151857,-0.111417385,-0.806886329
36,"SRG","SRER",-0.416509000, 0.109801558,-0.942819558
37,"SRG","SRER",-0.816007314,-0.395100268,-1.236914360
