"week","site","neon","nee_night.avg","nee_night.upper","nee_night.lower"
 2,"SRM","SRER", 0.1712230097, 0.1970279250, 0.1454180943
 3,"SRM","SRER", 0.1602476429, 0.1833755184, 0.1371197674
 4,"SRM","SRER", 0.1939413250, 0.2113574986, 0.1765251515
 5,"SRM","SRER", 0.1629823551, 0.1789686187, 0.1469960914
 6,"SRM","SRER", 0.1743188769, 0.1888392314, 0.1597985225
 7,"SRM","SRER", 0.1906650664, 0.2030373768, 0.1782927559
 8,"SRM","SRER", 0.1902265142, 0.2066718024, 0.1737812260
 9,"SRM","SRER", 0.2723716303, 0.2961433721, 0.2485998886
10,"SRM","SRER", 0.3068807593, 0.3340204608, 0.2797410579
11,"SRM","SRER", 0.3638475874, 0.3863294434, 0.3413657314
12,"SRM","SRER", 0.3803960558, 0.4007466272, 0.3600454845
13,"SRM","SRER", 0.3546193247, 0.3806254419, 0.3286132075
14,"SRM","SRER", 0.4131695677, 0.4401871435, 0.3861519920
15,"SRM","SRER", 0.4885977701, 0.5136688908, 0.4635266494
16,"SRM","SRER", 0.4763354615, 0.5035794322, 0.4490914908
17,"SRM","SRER", 0.4764279772, 0.5107731204, 0.4420828340
18,"SRM","SRER", 0.4824051533, 0.5093524026, 0.4554579040
19,"SRM","SRER", 0.4616658030, 0.4840316392, 0.4392999668
20,"SRM","SRER", 0.4371262785, 0.4544537881, 0.4197987689
21,"SRM","SRER", 0.5176155559, 0.5645203094, 0.4707108024
22,"SRM","SRER", 0.4575272387, 0.4813545795, 0.4336998979
23,"SRM","SRER", 0.4422238251, 0.4711422641, 0.4133053861
24,"SRM","SRER", 0.4112943618, 0.4347764685, 0.3878122550
25,"SRM","SRER", 0.4938952013, 0.5234761039, 0.4643142987
26,"SRM","SRER", 0.8830573195, 0.9601563493, 0.8059582898
27,"SRM","SRER", 1.6384221982, 1.7374429069, 1.5394014895
28,"SRM","SRER", 1.9907417596, 2.0587262724, 1.9227572468
29,"SRM","SRER", 2.1921588043, 2.2468972375, 2.1374203710
30,"SRM","SRER", 2.3076820470, 2.3857887519, 2.2295753420
31,"SRM","SRER", 2.2121275387, 2.2898120080, 2.1344430693
32,"SRM","SRER", 2.1219082486, 2.2049478230, 2.0388686742
33,"SRM","SRER", 2.2450045260, 2.3161030102, 2.1739060419
34,"SRM","SRER", 1.9988495254, 2.0663399488, 1.9313591020
35,"SRM","SRER", 1.7696013614, 1.8513829944, 1.6878197284
36,"SRM","SRER", 1.6887813817, 1.7722513047, 1.6053114587
37,"SRM","SRER", 1.4807845442, 1.5446946212, 1.4168744671
38,"SRM","SRER", 1.2636110387, 1.3213042984, 1.2059177790
39,"SRM","SRER", 0.8909696776, 0.9421408432, 0.8397985120
40,"SRM","SRER", 0.8094727277, 0.8701067082, 0.7488387472
41,"SRM","SRER", 0.6003024547, 0.6335930394, 0.5670118701
42,"SRM","SRER", 0.4531219040, 0.4782749281, 0.4279688798
43,"SRM","SRER", 0.4376989874, 0.4771213681, 0.3982766066
44,"SRM","SRER", 0.3496621361, 0.3724669877, 0.3268572846
45,"SRM","SRER", 0.2890904689, 0.3117728126, 0.2664081253
46,"SRM","SRER", 0.3217723682, 0.3427577860, 0.3007869505
47,"SRM","SRER", 0.3159901416, 0.3407033842, 0.2912768991
48,"SRM","SRER", 0.3239019864, 0.3637474758, 0.2840564969
49,"SRM","SRER", 0.2864885118, 0.3311223557, 0.2418546679
50,"SRM","SRER", 0.2332733726, 0.2565686562, 0.2099780890
51,"SRM","SRER", 0.2340224666, 0.2558314088, 0.2122135244
52,"SRM","SRER", 0.2278335480, 0.2503717898, 0.2052953062
53,"SRM","SRER", 0.0719189331, 0.1144958574, 0.0293420089
